domain,NS,IP
ABUDHABI,gtld.alpha.aridns.net.au.,37.209.192.10
ABUDHABI,gtld.gamma.aridns.net.au.,37.209.196.10
ABUDHABI,gtld.delta.aridns.net.au.,37.209.198.10
ABUDHABI,gtld.beta.aridns.net.au.,37.209.194.10
AAA,ns3.dns.nic.AAA.,156.154.159.2
AAA,c.nic.AAA.,37.209.196.9
AAA,b.nic.AAA.,37.209.194.9
AAA,ns2.dns.nic.AAA.,156.154.145.2
AAA,ns1.dns.nic.AAA.,156.154.144.2
AAA,a.nic.AAA.,37.209.192.9
AARP,b.nic.AARP.,37.209.194.9
AARP,y.nic.AARP.,156.154.173.82
AARP,x.nic.AARP.,156.154.172.82
AARP,a.nic.AARP.,37.209.192.9
AARP,z.nic.AARP.,156.154.174.82
AARP,c.nic.AARP.,37.209.196.9
ABOGADO,x.nic.ABOGADO.,156.154.172.82
ABOGADO,y.nic.ABOGADO.,156.154.173.82
ABOGADO,z.nic.ABOGADO.,156.154.174.82
ABOGADO,a.nic.ABOGADO.,37.209.192.10
ABOGADO,b.nic.ABOGADO.,37.209.194.10
ABOGADO,c.nic.ABOGADO.,37.209.196.10
ABLE,b.nic.ABLE.,37.209.194.10
ABLE,c.nic.ABLE.,37.209.196.10
ABLE,ns1.dns.nic.ABLE.,156.154.144.3
ABLE,a.nic.ABLE.,37.209.192.10
ABLE,ns3.dns.nic.ABLE.,156.154.159.3
ABLE,ns2.dns.nic.ABLE.,156.154.145.3
AC,c0.nic.AC.,65.22.162.1
AC,b0.nic.AC.,65.22.161.1
AC,a2.nic.AC.,65.22.163.1
AC,a0.nic.AC.,65.22.160.1
ABB,b0.nic.ABB.,65.22.113.41
ABB,c0.nic.ABB.,65.22.114.41
ABB,a2.nic.ABB.,65.22.115.41
ABB,a0.nic.ABB.,65.22.112.41
ACO,n.dns.nic.ACO.,194.0.24.12
ACO,a.dns.nic.ACO.,194.0.25.32
ACO,m.dns.nic.ACO.,194.0.26.12
ABC,v0n3.nic.ABC.,161.232.30.28
ABC,v0n2.nic.ABC.,65.22.106.28
ABC,v0n1.nic.ABC.,65.22.105.28
ABC,v0n0.nic.ABC.,65.22.104.28
ABC,v2n1.nic.ABC.,161.232.31.28
ABC,v2n0.nic.ABC.,65.22.107.28
ACCOUNTANT,ns3.dns.nic.ACCOUNTANT.,156.154.159.195
ACCOUNTANT,ns2.dns.nic.ACCOUNTANT.,156.154.145.195
ACCOUNTANT,a.nic.ACCOUNTANT.,37.209.192.10
ACCOUNTANT,c.nic.ACCOUNTANT.,37.209.196.10
ACCOUNTANT,ns1.dns.nic.ACCOUNTANT.,156.154.144.195
ACCOUNTANT,b.nic.ACCOUNTANT.,37.209.194.10
ABBOTT,a0.nic.ABBOTT.,65.22.156.41
ABBOTT,b0.nic.ABBOTT.,65.22.157.41
